"date","year","month","sunspot","f107","ap"
1964-01-01,1964,1,22.6,754,12
1964-02-01,1964,2,25.3,768,12
1964-03-01,1964,3,24.1,759,13
1964-04-01,1964,4,12.9,726,13
1964-05-01,1964,5,14.3,695,10
1964-06-01,1964,6,13.5,690,9
1964-07-01,1964,7,4.8,670,9
1964-08-01,1964,8,13.8,693,8
1964-09-01,1964,9,7,702,11
1964-10-01,1964,10,9.2,734,10
1964-11-01,1964,11,11.1,737,7
1964-12-01,1964,12,22.1,788,5
1965-01-01,1965,1,25.4,786,6
1965-02-01,1965,2,20.8,752,9
1965-03-01,1965,3,17.5,741,8
1965-04-01,1965,4,10.2,720,8
1965-05-01,1965,5,34.5,782,6
1965-06-01,1965,6,23.3,770,10
1965-07-01,1965,7,17.3,743,8
1965-08-01,1965,8,13.3,748,9
1965-09-01,1965,9,24.5,766,10
1965-10-01,1965,10,29.1,802,7
1965-11-01,1965,11,22.8,777,6
1965-12-01,1965,12,24.7,778,7
1966-01-01,1966,1,40.3,879,7
1966-02-01,1966,2,35.3,842,8
1966-03-01,1966,3,36.4,903,13
1966-04-01,1966,4,69,972,7
1966-05-01,1966,5,64.2,985,9
1966-06-01,1966,6,67.7,963,6
1966-07-01,1966,7,80.2,1067,9
1966-08-01,1966,8,72.6,1066,11
1966-09-01,1966,9,71.1,1109,21
1966-10-01,1966,10,81.2,1086,11
1966-11-01,1966,11,81,1133,10
1966-12-01,1966,12,99.8,1246,12
1967-01-01,1967,1,157,1477,11
1967-02-01,1967,2,132.6,1470,11
1967-03-01,1967,3,158.3,1606,7
1967-04-01,1967,4,98.4,1299,9
1967-05-01,1967,5,122.5,1430,25
1967-06-01,1967,6,95.4,1202,12
1967-07-01,1967,7,129.5,1403,8
1967-08-01,1967,8,151.8,1537,9
1967-09-01,1967,9,108.7,1321,16
1967-10-01,1967,10,125,1361,10
1967-11-01,1967,11,133.6,1453,10
1967-12-01,1967,12,179,1630,14
1968-01-01,1968,1,172.5,1891,11
1968-02-01,1968,2,158.5,1732,16
1968-03-01,1968,3,130.5,1426,13
1968-04-01,1968,4,115,1295,13
1968-05-01,1968,5,180,1549,13
1968-06-01,1968,6,156.2,1423,17
1968-07-01,1968,7,136.2,1372,10
1968-08-01,1968,8,154.8,1422,12
1968-09-01,1968,9,166,1410,14
1968-10-01,1968,10,152.5,1525,16
1968-11-01,1968,11,121.7,1385,17
1968-12-01,1968,12,155.5,1484,10
1969-01-01,1969,1,147.8,1527,8
1969-02-01,1969,2,170.5,1552,15
1969-03-01,1969,3,192.3,1723,17
1969-04-01,1969,4,151.1,1555,14
1969-05-01,1969,5,169.9,1454,17
1969-06-01,1969,6,150.1,1622,9
1969-07-01,1969,7,137.1,1366,8
1969-08-01,1969,8,138.8,1430,8
1969-09-01,1969,9,129.3,1373,15
1969-10-01,1969,10,135.4,1540,9
1969-11-01,1969,11,132.4,1567,10
1969-12-01,1969,12,138.6,1436,7
1970-01-01,1970,1,157.9,1583,7
1970-02-01,1970,2,180.8,1754,7
1970-03-01,1970,3,145.7,1584,17
1970-04-01,1970,4,155.1,1620,16
1970-05-01,1970,5,180.5,1684,9
1970-06-01,1970,6,151.3,1549,11
1970-07-01,1970,7,159.3,1520,19
1970-08-01,1970,8,131.7,1382,13
1970-09-01,1970,9,140.8,1432,11
1970-10-01,1970,10,122.6,1483,12
1970-11-01,1970,11,134.8,1620,12
1970-12-01,1970,12,118.2,1528,9
1971-01-01,1971,1,129.2,1626,12
1971-02-01,1971,2,111.8,1378,12
1971-03-01,1971,3,85.9,1119,11
1971-04-01,1971,4,101.6,1167,15
1971-05-01,1971,5,81.5,1099,13
1971-06-01,1971,6,70.7,1017,9
1971-07-01,1971,7,114.7,1174,8
1971-08-01,1971,8,87,1141,9
1971-09-01,1971,9,71.3,1040,13
1971-10-01,1971,10,73.4,1072,12
1971-11-01,1971,11,89.5,1140,11
1971-12-01,1971,12,116.5,1245,10
1972-01-01,1972,1,87,1148,13
1972-02-01,1972,2,125.3,1418,10
1972-03-01,1972,3,113.5,1285,12
1972-04-01,1972,4,89.6,1129,11
1972-05-01,1972,5,113.9,1296,10
1972-06-01,1972,6,124.7,1354,15
1972-07-01,1972,7,108.3,1220,8
1972-08-01,1972,8,108.9,1257,24
1972-09-01,1972,9,90.7,1136,13
1972-10-01,1972,10,86.9,1211,12
1972-11-01,1972,11,59.2,1016,14
1972-12-01,1972,12,64.3,1029,10
1973-01-01,1973,1,61.8,1022,16
1973-02-01,1973,2,60.9,987,20
1973-03-01,1973,3,65.4,1004,25
1973-04-01,1973,4,81.8,1050,30
1973-05-01,1973,5,60.3,970,17
1973-06-01,1973,6,56.1,912,17
1973-07-01,1973,7,33.2,845,12
1973-08-01,1973,8,36.6,829,12
1973-09-01,1973,9,84.1,1056,14
1973-10-01,1973,10,43.7,877,18
1973-11-01,1973,11,34.3,815,12
1973-12-01,1973,12,33.3,842,11
1974-01-01,1974,1,39.4,831,15
1974-02-01,1974,2,37.3,809,16
1974-03-01,1974,3,30.9,792,23
1974-04-01,1974,4,57.5,861,21
1974-05-01,1974,5,56.3,906,18
1974-06-01,1974,6,51.5,863,17
1974-07-01,1974,7,79.1,925,24
1974-08-01,1974,8,47.9,830,19
1974-09-01,1974,9,57.2,878,23
1974-10-01,1974,10,67.2,976,26
1974-11-01,1974,11,35.9,903,18
1974-12-01,1974,12,29.6,811,16
1975-01-01,1975,1,27.3,775,15
1975-02-01,1975,2,16.7,742,18
1975-03-01,1975,3,16.9,724,20
1975-04-01,1975,4,7.7,707,16
1975-05-01,1975,5,13.1,701,13
1975-06-01,1975,6,16.7,697,11
1975-07-01,1975,7,40.4,772,12
1975-08-01,1975,8,56.7,904,10
1975-09-01,1975,9,20.3,796,10
1975-10-01,1975,10,13.6,757,12
1975-11-01,1975,11,27.9,808,18
1975-12-01,1975,12,11.6,746,12
1976-01-01,1976,1,11.9,747,13
1976-02-01,1976,2,6.4,705,17
1976-03-01,1976,3,31.5,767,23
1976-04-01,1976,4,27.3,763,17
1976-05-01,1976,5,18.2,706,14
1976-06-01,1976,6,17.9,706,10
1976-07-01,1976,7,2.9,675,9
1976-08-01,1976,8,24.1,748,9
1976-09-01,1976,9,20,731,13
1976-10-01,1976,10,29.7,759,12
1976-11-01,1976,11,7.9,729,9
1976-12-01,1976,12,22.3,767,10
1977-01-01,1977,1,23.8,774,10
1977-02-01,1977,2,33.3,823,11
1977-03-01,1977,3,13,766,11
1977-04-01,1977,4,19,776,16
1977-05-01,1977,5,27,796,11
1977-06-01,1977,6,54.9,915,8
1977-07-01,1977,7,30.6,811,14
1977-08-01,1977,8,43,843,13
1977-09-01,1977,9,62.4,999,16
1977-10-01,1977,10,62.1,969,13
1977-11-01,1977,11,41.6,937,10
1977-12-01,1977,12,61.4,1021,10
1978-01-01,1978,1,73.7,1096,15
1978-02-01,1978,2,132.6,1454,16
1978-03-01,1978,3,108.4,1418,16
1978-04-01,1978,4,141.2,1494,23
1978-05-01,1978,5,117.1,1465,25
1978-06-01,1978,6,134.6,1422,20
1978-07-01,1978,7,99.7,1311,13
1978-08-01,1978,8,82.4,1140,17
1978-09-01,1978,9,195.7,1579,18
1978-10-01,1978,10,177.1,1582,12
1978-11-01,1978,11,138.5,1515,15
1978-12-01,1978,12,173.9,1755,13
1979-01-01,1979,1,235.9,2030,16
1979-02-01,1979,2,194.7,2041,15
1979-03-01,1979,3,195.3,1858,19
1979-04-01,1979,4,143.7,1738,25
1979-05-01,1979,5,190.3,1652,14
1979-06-01,1979,6,211.7,1803,12
1979-07-01,1979,7,225.7,1659,12
1979-08-01,1979,8,201.4,1727,17
1979-09-01,1979,9,266.9,2002,14
1979-10-01,1979,10,263.6,2179,12
1979-11-01,1979,11,259.5,2317,10
1979-12-01,1979,12,249.6,2035,9
1980-01-01,1980,1,226.1,2062,10
1980-02-01,1980,2,219.4,2000,11
1980-03-01,1980,3,178.7,1681,8
1980-04-01,1980,4,232.2,2079,12
1980-05-01,1980,5,254.7,2240,10
1980-06-01,1980,6,222.7,1932,13
1980-07-01,1980,7,192.9,1848,11
1980-08-01,1980,8,191.7,1662,10
1980-09-01,1980,9,219.6,1839,8
1980-10-01,1980,10,233.3,2042,14
1980-11-01,1980,11,209.5,2181,13
1980-12-01,1980,12,246.9,2258,13
1981-01-01,1981,1,156.6,1746,9
1981-02-01,1981,2,189.9,2045,14
1981-03-01,1981,3,196.6,2053,18
1981-04-01,1981,4,225.3,2232,28
